username,tanggal,tweet,sentimen
pkmjangkar,2022-03-07 23:58:20,".update jadwal vaksinasi covid-19 UPT Puskesmas Jangkar

Selasa, 08 Maret 2022
""Vaksin Aman""
""Vaksin Halal""
""Masyarakat Sehat""
""Indonesia Kuat

@dinkes_situbondo 
nandafida,2022-03-07 15:28:01,"Ayo, lindungi diri dan keluarga dari COVID-19 dengan vaksinasi!! Vaksin Aman, Halal, dan Berkualitas!!!
@LPDP_RI

#LPDP #LPDP2022 #PK182 #ZoraGauri #DiriUntukNegeri #IndonesiaTangguhIndonesiaTumbuh #SDMUnggulIndinesiaMaju #AkuPastiMengabdi #RecoverStrongerRecoverTogether https://t.co/EDMGE3C9lI"
RezaFrandika4,2022-03-07 15:17:42,"Dikonfirmasi Aman, Suntik Vaksin Covid-19 untuk Ibu Hamil Diperbolehkan Asal Memenuhi Syarat- Indonesia Disiplin Prokes- https://t.co/rq9GghzIjO"
haidir_setiawan,2022-03-07 15:17:32,"Mulai 14 Maret, paspor Covid-19 Perancis dicabut 
logikanya vaksin wajib otomatis dibatalkan - 

sepanjang orang2 ini masih duduk sbg pemimpin jangan percaya amat - kecuali Macron diturunkan dia termasuk garda depan davos19 = Trudeau nggak ada jalan mundur https://t.co/Co7pm95Ixm"
fatuknutu2022,2022-03-07 15:13:18,"Contoh..

Gue yakin loe ga bakal tau berapa harga satu dosis vaksin covid kl China dan Russia tidak obral besar2an..

Mereka rencana jualan macem iPhone..

Sudah loe beli barangnya sudah mahal..
Beli apps nya juga mahal..

😂😂😂"
clickawayloser,2022-03-07 15:10:52,"vaksin tak function pun. kalau function, adik aku yang kena covid ni mesti laa simptom dia lagi ringan dari aku. tapi simptom dia lagi teruk kot. batuk, selesema, demam lagi. 

semua ni depend on immuniti badan sendiri je. tak perlu la kot nak paksa² orang cucuk. https://t.co/H7MFd9pckM"
akmalarif90,2022-03-07 15:01:15,"Fokus Penyampaian Maklumat :
📌 Nasihat kesihatan KKM 
📌 Langkah-langkah melindungi diri daripada varian Omicron
📌 Kepentingan dos penggalak vaksin COVID-19 
📌 TRIIS - Penilaian kendiri COVID-19
📌 Kempen Putuskan Rantaian COVID-19
📌 Keluarga Malaysia
📌 Kempen Derma Darah https://t.co/TKxicbrdh1"
frdrio,2022-03-07 15:01:07,@ridwankamil pa punten kalau anak yg dibawah 5 taun yg belum ada vaksin covid gimana ya?
satia_nagara,2022-03-07 15:00:39,"@dr_koko28 @KemenkesRI Rekan kerja sy aja sdh 2x vaksin kmrn tes pcr positif dan ini yg ke 2xnya jg sebelum vaksin sdh positif covid eh kmrn stlh lengkap vaksin positif lagi dan bergejala sama seperti sebelum divaksin, kami jd bingung menyikapi covid-19"
RiikaPS,2022-03-07 15:00:09,"Siapa yg bakal menjamin tidak adanya gelombang susulan covid 19 ataupun variant baru, dengan di bebaskannya berpergian tanpa swab antigen maupun pcr.
Emangnya dg vaksin dah 2 dosis gitu jadi jaminan ga bakal tertular?

Capeq, dari ibuk dengan bayi 7bulan."
ivooxid,2022-03-07 14:58:33,Pemerintah Serukan Kesetaraan Akses Vaksin COVID-19 dalam Forum C20 https://t.co/Mv1mhCNLXT
JaPenWPKL,2022-03-07 14:58:19,"Fokus Penyampaian Maklumat :
📌 Nasihat kesihatan KKM 
📌 Langkah-langkah melindungi diri daripada varian Omicron
📌 Kepentingan dos penggalak vaksin COVID-19 
📌 TRIIS - Penilaian kendiri COVID-19
📌 Kempen Putuskan Rantaian COVID-19
📌 Keluarga Malaysia
📌 Kempen Derma Darah https://t.co/TKxicbrdh1"
republikaonline,2022-03-07 14:51:36,Vaksin booster penting karena imun yang terbentuk dalam tubuh lama-kelamaan hilang. https://t.co/j2N52t1sP4
akmalarif90,2022-03-07 14:46:42,"Fokus Penyampaian Maklumat :
📌 Nasihat kesihatan KKM 
📌 Kepentingan dos penggalak vaksin COVID-19 
📌 Kempen Putuskan Rantaian COVID-19
📌 Keluarga Malaysia
📌 Larian Maya Keluarga Malaysia 

#IOW
#KomunikasiKita
#KeluargaMalaysia
#dermadarahselamatkannyawa https://t.co/qYwBQ9AV9V"
Rizal9214,2022-03-07 14:44:28,"Mewaspadai Provokasi Kelompok Kepentingan Terkait Penolakan Vaksin, Karena Vaksin Covid Yang Telah Dipilih Pemerintah Telah Teruji Dan Terjamin Keamanannya https://t.co/KnpdHKmEKP"
detiksport,2022-03-07 14:44:17,Airlangga Hartarto menyebut penonton MotoGP Mandalika yang sudah dua kali vaksin tidak diwajibkan tes antigen maupun PCR. Airlangga menyebut rata-rata dosis vaksin kedua di NTB sudah di atas 70%. https://t.co/L3sYU47paQ
PuisiSex,2022-03-07 14:40:31,bisakah vaksin covid sendiri
Muchlis88426192,2022-03-07 14:39:59,"@dr_koko28 @KemenkesRI kesimpulannya vaksin itu tdklah penting2 amat, yg penting jaga prokes dan udara sehat gitu kan dok. 
ya mending spt ini sj dok drpd buang2 duit unt pengadaan jutaan vaksin yg sdh terbukti g efektif menjamin seseorg terinveksi covid bahkan hal yg lbh buruk kematian."
shalomegrace1,2022-03-07 14:38:35,"vaksin tak function pun. kalau function, adik aku yang kena covid ni mesti laa simptom dia lagi ringan dari aku. tapi simptom dia lagi teruk kot. batuk, selesema, demam lagi. 

semua ni depend on immuniti badan sendiri je. tak perlu la kot nak paksa² orang cucuk. https://t.co/H7MFd9pckM"
JaPenWPKL,2022-03-07 14:38:09,"Fokus Penyampaian Maklumat :
📌 Nasihat kesihatan KKM 
📌 Kepentingan dos penggalak vaksin COVID-19 
📌 Kempen Putuskan Rantaian COVID-19
📌 Keluarga Malaysia
📌 Larian Maya Keluarga Malaysia 

#IOW
#KomunikasiKita
#KeluargaMalaysia
#dermadarahselamatkannyawa https://t.co/qYwBQ9AV9V"
reskyifah,2022-03-07 14:36:27,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
AntiKadrun_,2022-03-07 14:35:44,"@ABSetyono @kemkominfo @dennysirregar7 @psi_id @Aryprasetyo85 @Prabu_dasamuka @babegalak1 @myozhyme @PlateJohnny @putrivio3 @setengahmalass Jadi, sebaiknya jangan andalkan media sosial untuk mencari informasi mengenai vaksin COVID-19, tapi carilah informasi dari sumber-sumber terpercaya.
@kemkominfo"
marinir_tni_al,2022-03-07 14:35:02,Puslatpurmar-4 Purboyo Dukung Pelaksanaan Vaksin Covid -19 di Puskesmas Bantur https://t.co/y7o6yQiiI4
Najhwa_AM,2022-03-07 14:34:54,"@ABSetyono @kemkominfo @dennysirregar7 @psi_id @Aryprasetyo85 @Prabu_dasamuka @babegalak1 @myozhyme @PlateJohnny @putrivio3 @setengahmalass Tidak semua informasi sama, berguna, dan kredibel. Mengandalkan media sosial, seperti Twitter dan Facebook,untuk mendapatkan informasi tentang Vaksin COVID dikaitkan dengan berkurangnya perilaku melindungi kesehatan dan meningkatkan kepercayaan pada teori konspirasi.
@kemkominfo"
Bams_1eng,2022-03-07 14:34:39,"Uraaa.... 
Menuju endemi Covid-19
Lengkapi vaksin dan tetap patuhi Protokol kesehatan https://t.co/VLlhnT5jB7"
AryPrasetyo_85,2022-03-07 14:33:58,"@ABSetyono @kemkominfo @dennysirregar7 @psi_id @Aryprasetyo85 @Prabu_dasamuka @babegalak1 @myozhyme @PlateJohnny @putrivio3 @setengahmalass Yuk, ketahui cara menghadapi hoaks vaksin COVID-19
@kemkominfo"
mbah_binong,2022-03-07 14:33:50,"@pikiran_rakyat Malu ku negara lain yg udah anggap covid sbg flu biasa .. mau sampai kapan jualan PCR, Antigen , Vaksin dll"
notskrD,2022-03-07 14:33:14,"""Warga yg udah 2x vaksin ga perlu PCR Antigen kalo mau naik kendaraan umum""
Pls la ya kali itu menjamin saat dia mau bepergian lg gak covid. Mau naikin ekonomi jelang ramadhan bukan berarti bodo amatin kesehatan"
Spy_Zone85,2022-03-07 14:32:55,"HOAKS VAKSIN COVID-19 MASIH BANYAK, KOMINFO TURUNKAN 2.661 KONTEN DI MEDIA SOSIAL

@kemkominfo terus melaporkan temuan hoaks seputar vaksin Covid-19. Hingga Jumat (4/3/2022) terdapat 470 temuan hoaks yg tersebar di berbagai media sosial dan sebarannya mencapai 2.661 konten. https://t.co/06skfdJLde"
Lah06575154,2022-03-07 14:32:49,"COVID-19 | kerajaan meneliti kaedah pemberian vaksin melalui mulut dan semburan hidung menerusi Pelan Hala Tuju Pembangunan Vaksin Negara (PPVN).

Video penuh di: https://t.co/qvhnBwpMsi https://t.co/wis83HvL1I"
Spy_Zone85,2022-03-07 14:32:37,"Banyaknya hoaks vaksin COVID-19 yang tersebar ini tentu bisa membuat masyarakat menjadi bingung, bahkan bisa memengaruhi kepercayaan masyarakat kepada vaksin COVID-19.
@kemkominfo https://t.co/eFkMCxhLHF"
BangAle25,2022-03-07 14:30:32,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
ryolandafit,2022-03-07 14:29:44,"AS Kirim 3,5 Juta Vaksin Covid Lagi ke RI: Total Sudah 32,3 Juta Dosis https://t.co/wqBPj4FVzD"
medcom_id,2022-03-07 14:29:25,Mampukah Vaksin Covid-19 Melindungi dari Varian Baru? https://t.co/YthQV1d8op
MuhammadDjazul1,2022-03-07 14:26:22,"@ridwankamil Sy sdh vaksin ke 3 /booster, prokes tetap sy lakukan, tapi tetap saja terpapar covid 19. Lantas vaksin untuk apa? Benar"" sy sdh TDK percaya yg namanya vaksin yg hanya memperkaya saudagar vaksin."
Zero_1A,2022-03-07 14:21:54,"AS Kirim 3,5 Juta Vaksin Covid Lagi ke RI: Total Sudah 32,3 Juta Dosis https://t.co/wqBPj4FVzD"
bellsame,2022-03-07 14:18:51,"@ABSetyono @kemkominfo @PlateJohnny Kalau butuh informasi vaksin Covid-19, kunjungi website https://t.co/7ljjv3C7M4 dan untuk informasi terkait Covid-19 kunjungi situs resmi Penanganan Covid-19 dan Pemulihan Ekonomi Nasional https://t.co/yNESYCwFHS.
@kemkominfo"
21BeritaTerkini,2022-03-07 14:18:06,Girangnya Pedagang Cendol dan Petani Ikan Dapat Motor Usai Disuntik Vaksin Covid-19 https://t.co/PBXNkECSFe
AryPrasetyo_85,2022-03-07 14:16:45,"@ABSetyono @kemkominfo @PlateJohnny Biasanya, di masa pandemi ini kabar bohong yang beredar mengenai vaksin atau gejala-gejala Covid-19.
@kemkominfo"
Spy_Zone85,2022-03-07 14:15:44,"Hoaks Vaksin Covid-19 Masih Banyak,Kominfo Turunkan 2.659 Konten di Media Sosial

Hingga Rabu (2/3/2022) terdapat 469 temuan hoaks yang tersebar di berbagai media sosial dan sebarannya mencapai 2.659 konten.
@kemkominfo @PlateJohnny
https://t.co/FBiESo4P89"
Syamsud76579252,2022-03-07 14:15:16,"AS Kirim 3,5 Juta Vaksin Covid Lagi ke RI: Total Sudah 32,3 Juta Dosis https://t.co/wqBPj4FVzD"
kutarajapost,2022-03-07 14:14:06,AS Sumbang Jutaan Dosis Vaksin Covid-19 ke RI https://t.co/gx6DGjsvdp
mgreyfans,2022-03-07 14:12:06,"@stanmenfess Seminggu setelah, berasa kena covid pas diswab negatif tapi hasilnya 🥲

Batuk + pilek + puyeng + demam

Setelah vaksin efek yg dirasain cuma pegel"
CNNIndonesia,2022-03-07 14:10:39,"AS Kirim 3,5 Juta Vaksin Covid Lagi ke RI: Total Sudah 32,3 Juta Dosis https://t.co/wqBPj4FVzD"
nurfarhatulhuda,2022-03-07 14:09:28,"Minggu ni team yang selalu handle vaksin offsite mostly kuarantin positif covid. Pastu nak dijadikan cerita, harini dapat projek vaksin kat 2 tempat tapi terpaksa let go satu sebab tak cukup staff, aaaa sayangnya 😩😩😩😩😩😩"
satbrimobda,2022-03-07 14:08:12,Pelaksanaan Vaksin Covid-19 Tahap Ketiga (Booster) Kepada Masyarakat di Kec.Tinanggea Kab.Konawe Selatan Oleh Tim Vaksinator Teratai Satuan Brimob Polda Sultra. https://t.co/xafO3mZzLx
HeyNuur_,2022-03-07 14:06:25,"Katakan semua yang doctor katakan sini betul.
Bolehkah doctor jawab soalan mudah ini?

Kematian C19 sebelum ade vaksin - 471 orang
Kematian C19 selepas ade vaksin - 30,000 orang

Jika vaksin berkesan meringkan komplikasi covid, kenapa lebih banyak orang mati selepas ade vaksin? https://t.co/U2Sv6pp1az"
Fatahillah7799,2022-03-07 14:03:44,"@Ragilputri_rf Malam sahabat, hingga saat ini syarat penerbangan masih sesuai dengan Surat Edaran Kemenhub Nomor 96 tahun 2021 bahwa setiap penumpang wajib menunjukkan sertifikat vaksin dan Surat keterangan hasil negatif dari pemeriksaan uji Covid-19 menyesuaikan rute penerbangan. (1/2)"
Jujue7795,2022-03-07 14:03:30,"Kalau previous covid(tak tahu variant apa), hari ke 6 masih lagi hilang deria rasa and bau. Kalau tidur rasa sesak, demam on off and batuk2 lagi.
Not sure sebab dah vaksin ataupun sebab variant omicron ni lemah."
azkadotid,2022-03-07 14:00:49,AS Sumbang Jutaan Dosis Vaksin Covid-19 ke RI https://t.co/qaWwEmxng2
angkasapura172,2022-03-07 13:58:58,"@glossiehoneyluv Malam sahabat, hingga saat ini syarat penerbangan masih sesuai dengan Surat Edaran Kemenhub Nomor 96 tahun 2021 bahwa setiap penumpang wajib menunjukkan sertifikat vaksin dan Surat keterangan hasil negatif dari pemeriksaan uji Covid-19 menyesuaikan rute penerbangan. (1)"
forseonhohada,2022-03-07 13:57:47,"Ku kira netijen twitter kejam-kejam, rupanya netijen anti covid dan vaksin lebih kejam 😂😂 sabar sabar
Mulai detik ini gausah peduli ok sarah? Urus aja prokes diri sendiri"
AnisAsyiqin1,2022-03-07 13:56:13,"vaksin tak function pun. kalau function, adik aku yang kena covid ni mesti laa simptom dia lagi ringan dari aku. tapi simptom dia lagi teruk kot. batuk, selesema, demam lagi. 

semua ni depend on immuniti badan sendiri je. tak perlu la kot nak paksa² orang cucuk. https://t.co/H7MFd9pckM"
BuletinTV3,2022-03-07 13:55:16,"COVID-19 | kerajaan meneliti kaedah pemberian vaksin melalui mulut dan semburan hidung menerusi Pelan Hala Tuju Pembangunan Vaksin Negara (PPVN).

Video penuh di: https://t.co/qvhnBwpMsi https://t.co/wis83HvL1I"
hanyutdisungai,2022-03-07 13:55:10,"vaksin tak function pun. kalau function, adik aku yang kena covid ni mesti laa simptom dia lagi ringan dari aku. tapi simptom dia lagi teruk kot. batuk, selesema, demam lagi. 

semua ni depend on immuniti badan sendiri je. tak perlu la kot nak paksa² orang cucuk. https://t.co/H7MFd9pckM"
IDCorner,2022-03-07 13:52:24,"AS Sumbang Jutaan Dosis Vaksin Covid-19 ke RI - https://t.co/42VXKEsPle 

#IDCORNER"
TETAPRAHASIA,2022-03-07 13:52:01,"https://t.co/L4VYitK1L7

Tadi mertua bilang, tempo hari ikut vaksin, karena dipikir gratis, ternyata syarat utk membeli minyak goreng murah, harus vaksinasi dahulu...

Buset, rakyat lagi kesulitan pun dibuat akal²an utk program vaksin🤦‍♂️🤦‍♂️"
cnbcindonesia,2022-03-07 13:49:40,AS Sumbang Jutaan Dosis Vaksin Covid-19 ke RI https://t.co/gx6DGjsvdp
protecthealthco,2022-03-07 13:48:14,"Terus amalkan norma baharu walau telah mengambil vaksin COVID-19 (Sarawak) 

Norma baharu seperti pakai pelitup muka, jaga jarak dan cuci tangan menggunakan air dan sabun atau hand sanitizer. 

Sumber : Jabatan Kesihatan Negeri Sarawak (Rasmi) 

#ANMS 
#COVID19 https://t.co/hfAwowW1XD"
Sufiannii,2022-03-07 13:48:04,"Omicron ni buat rasa penat. So if you rasa macam tetiba penat melampau, ada sore throat sesikit, buatla PCR. Ingatkan sebab side effects vaksin, rupanya kena covid."
AmstrongBiring,2022-03-07 13:47:26,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
sirajapadoha,2022-03-07 13:44:40,"Video 2 🎬

Naik Pesawat Udara, Kapal Laut maupun Angkutan Darat TIDAK PERLU TES PCR-ANTIGEN Lagi Jika Sudah 2 Kali Vaksin.

PENGHAPUSAN SYARAT itu HANYA BERLAKU bagi Orang yg telah MENERIMA minimal DUA DOSIS vaksin COVID-19. https://t.co/dFnElFaJnh"
Beritasatu,2022-03-07 13:40:24,Data Penerima Vaksin Covid-19 sampai 7 Maret 2022 https://t.co/GTA83uDz6R https://t.co/mzZRy2HEtp
tvOneNews,2022-03-07 13:39:35,Bank Indonesia Serahkan Bantuan 60.000 Dosis Vaksin Covid-19 untuk WIlayah DIY https://t.co/JvHOFfTiLZ
tokwan_jeli,2022-03-07 13:38:46,"Kenyataan Media Kementerian Kesihatan Malaysia 

Pemberian Vaksin Sinovac Kepada Kanak-Kanak 5 Hingga 11 Tahun Dibawah Program Imunisasi COVID-19 Kebangsaan (Kanak-Kanak) https://t.co/J66DPJVJGH"
tashazulkarnain,2022-03-07 13:38:43,"IMUNISASI COVID-19 | Malaysia menerusi Pelan Hala Tuju Pembangunan Vaksin Negara sedang membangunkan kaedah pemberian vaksin melalui mulut dan semburan hidung, menurut Timbalan Menteri Sains, Teknologi dan Inovasi Datuk Ahmad Amzad Hashim.

Artikel penuh: https://t.co/d86BJaWB3B https://t.co/dUX0oIOoJy"
tokwan_jeli,2022-03-07 13:38:29,"Pemberian vaksinasi Sinovac untuk kanak-kanak ini akan bermula pada 7hb Mac 2022. Anda boleh rujuk senarai PPV yang terpilih di laman sesawang berikut: 

https://t.co/hdhDq4r0B8

https://t.co/iPM7bpe77x https://t.co/JaM86nKJOX"
lantas_ngada,2022-03-07 13:37:22,"Jangan Abaikan COVID-19 dan VARIAN OMICRON Mengintai disekitar kita, Patuhi selalu Himbauan Pemerintah...
Lebih baik Mencenggah dari Pada Mengobati.
Bagi warga Masyarakat yang belum menerima Vaksin Tahap I, II dan III (BOSTER) untuk datang di Gerai Vaksinasi Presisi Polres Ngada. https://t.co/UmHB0eR4so"
sirajapadoha,2022-03-07 13:36:46,"Naik Pesawat TAK PERLU Tes PCR-Antigen Lagi Jika Sudah 2 Kali Vaksin.

https://t.co/bcTM4NXYkC

Pemerintah MELONGGARKAN SYARAT yg INGIN BEPERGIAN naik PESAWAT, Lewat DARAT maupun LAUT.

PENGHAPUSAN SYARAT itu HANYA BERLAKU bagi Orang yg telah MENERIMA DUA DOSIS vaksin COVID-19. https://t.co/fSXfWmb3Sw"
titikputih01,2022-03-07 13:36:43,"Dari para pro fucks tanpa menelaah komentar saya saat itu. Demi keamanan, keselamatan, dan kesehatan mereka beserta orang terdekat mereka. 
https://t.co/spk0lstiem https://t.co/LRwFr8uhY9"
Satlantascmh,2022-03-07 13:36:32,Yang mau umroh dan ibadah haji silahkan kalau mau di vaksin covid 19 kita layani GRATIS https://t.co/1IAh4bGv7t
WandaAnjani95,2022-03-07 13:35:28,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
Anto21543249,2022-03-07 13:35:18,"- Bersedia masuk lembur jika dibutuhkan
- Sudah Vaksin Covid-19 Dosis 2

Silahkan kirim Surat lamaran kerja, CV dan dokumen/sertifikat pendukung lainnya ke email dengan subjek HSE Officer NKF:
Vindanindi@exelmandiri.co.id dan zainul.exelmandiri@gmail.com

paling lambat 08/03/22"
sukasomee,2022-03-07 13:34:13,"@kumparan berarti secara tidak langsung, positif covid itu tidak masalah asalkan sudah vaksin?"
helmmerah,2022-03-07 13:33:40,"- Bersedia masuk lembur jika dibutuhkan
- Sudah Vaksin Covid-19 Dosis 2

Silahkan kirim Surat lamaran kerja, CV dan dokumen/sertifikat pendukung lainnya ke email dengan subjek HSE Officer NKF:
Vindanindi@exelmandiri.co.id dan zainul.exelmandiri@gmail.com

paling lambat 08/03/22"
angkasapura172,2022-03-07 13:32:06,"@Ragilputri_rf Malam sahabat, hingga saat ini syarat penerbangan masih sesuai dengan Surat Edaran Kemenhub Nomor 96 tahun 2021 bahwa setiap penumpang wajib menunjukkan sertifikat vaksin dan Surat keterangan hasil negatif dari pemeriksaan uji Covid-19 menyesuaikan rute penerbangan. (1/2)"
Syamsud76579252,2022-03-07 13:30:50,Vaksin yang terbaik adalah vaksin yang paling cepat kita dapatkan. https://t.co/WnYmI2ahqo
ndarinda,2022-03-07 13:30:04,"Viral Bocah Laki-Laki Kebal Disuntik Vaksin Covid-19,  Jarum Tak Tembus Kulit https://t.co/trv1k97uEi"
namasayapuspa,2022-03-07 13:28:42,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
watashiwakarind,2022-03-07 13:28:36,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
republikaonline,2022-03-07 13:28:26,Vaksin yang terbaik adalah vaksin yang paling cepat kita dapatkan. https://t.co/WnYmI2ahqo
dieedylla,2022-03-07 13:27:04,"Lepas vaksin, tiap tiap bulan demam. Kalau tak vaksin, mati kena covid pula. Sungguh celaka bedebah cis. Hmmm"
ych_man,2022-03-07 13:26:24,"@LaporCovid Capaian vaksinasi covid ke 2 Indonesia sdh &gt;70%.
Apa kabarnya narasi kalian para ahli yg dulu bicara tentang herd immunity &amp; vaksin sbg ""juru selamat""..??
Hari ini kok msh ngomong penularan, alasannya ini virus misterius, tapi Vaksinnya msh yg itu2 juga.
https://t.co/plXrMSDgi5"
KISSHotInfo,2022-03-07 13:25:41,"Hingga saat ini, Amerika Serikat melalui kemitraan dengan COVAX dan UNICEF telah menyumbang lebih dari 32,3 juta dosis vaksin COVID-19 yang menyelamatkan jiwa  untuk mendukung target vaksinasi Pemerintah Indonesia."
papuakinioke,2022-03-07 13:25:34,Sudah Dua Kali Vaksin Pelaku Perjalanan Tak Perlu Lagi Test Covid-19 https://t.co/sAFXL1xiSU
papuakinioke,2022-03-07 13:24:01,Sudah Dua Kali Vaksin Pelaku Perjalanan Tak Perlu Lagi Test Covid-19 https://t.co/fK9wFVW59H
isantoh,2022-03-07 13:23:35,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
lyrastefani,2022-03-07 13:20:04,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
Koleeekdol,2022-03-07 13:19:48,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
AinulTajul,2022-03-07 13:17:45,"Perit tekak yang sekarang ni lebih kurang post-tonsillectomy.

Apa lagi Covid-19 ni nak? Dah lengkap 3 dos vaksin pun nak kacau ke? 😭"
adeyuliyasmine,2022-03-07 13:15:18,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
pewpewdor,2022-03-07 13:14:55,"@CNNIndonesia Min gw udah vaksin 2x masih kena,covid.. Sekeluarga dan gejalanya lukamayan banyak.. Mending ada tes lagi aja.. Macem genose atau apa yg murah"
nujopuil,2022-03-07 13:14:51,"Prof. Imunologi Kanada Byram Bridle :
'Kami Membuat Kesalahan Besar' — Protein Lonjakan Vaksin COVID Keluar Dari Tempat Suntikan, Dapat Menyebabkan Kerusakan Organ
06/03/2021 

(1/7)
https://t.co/wMzNhOUGeB"
headsink,2022-03-07 13:14:25,Biarpun kena Covid-19 nasib baik tak hilang deria rasa atau bau. Mungkin sebab vaksin kot efek dia serupa demam. #PengalamanCovid19
